model,water_year,n_days,april_first_swe_mm,april_first_swe_rank,april_first_swe_anomaly,april_first_depth_m,april_first_depth_rank,peak_swe_mm,peak_day,peak_swe_rank,season_mean_swe_mm,season_mean_swe_rank,melt_out_date
era5,1981,365,46.8882,4,-1.300,0.23173,13,51.1827,1981-04-05,1,15.1864,1,1981-05-26
era5,1982,365,107.2235,38,0.718,0.39531,35,110.4271,1982-04-09,32,53.3095,34,1982-06-24
era5,1983,365,101.9381,35,0.541,0.43496,40,107.6119,1983-04-05,29,52.3415,31,1983-06-19
era5,1984,366,146.5874,45,2.034,0.56997,45,147.8523,1984-03-31,43,74.5475,45,1984-06-12
era5,1985,365,136.5533,42,1.698,0.56986,44,140.5439,1985-03-30,42,69.0575,44,1985-06-12
era5,1986,365,61.6372,12,-0.807,0.19202,8,87.6066,1986-03-20,14,46.5009,27,1986-06-12
era5,1987,365,83.3892,23,-0.080,0.40195,36,86.7746,1987-03-29,12,35.7022,13,1987-05-20
era5,1988,366,69.1182,14,-0.557,0.31261,21,84.3596,1988-02-17,10,33.8332,12,1988-05-30
era5,1989,365,63.6252,13,-0.740,0.20563,12,111.1180,1989-03-05,34,38.7925,19,1989-05-23
era5,1990,365,40.1958,3,-1.524,0.16374,5,65.2269,1990-03-08,4,23.0113,4,1990-06-08
era5,1991,365,76.0773,15,-0.324,0.32917,26,78.3675,1991-03-30,6,32.8573,9,1991-06-08
era5,1992,366,76.8208,17,-0.299,0.29167,18,87.7579,1992-03-09,16,36.2488,14,1992-05-19
era5,1993,365,115.6554,40,0.999,0.40682,37,128.8021,1993-03-02,40,61.1251,41,1993-06-03
era5,1994,365,76.1405,16,-0.322,0.28746,17,93.4082,1994-04-11,21,42.4681,23,1994-06-01
era5,1995,365,95.5475,30,0.327,0.36771,31,108.6974,1995-04-26,30,55.2015,36,1995-06-28
era5,1996,366,84.4696,24,-0.043,0.29876,19,90.0953,1996-03-25,20,37.4730,16,1996-06-06
era5,1997,365,99.8347,33,0.470,0.30176,20,138.4403,1997-03-05,41,66.9871,43,1997-06-10
era5,1998,365,93.5189,29,0.259,0.37983,33,107.2651,1998-04-19,28,49.4060,29,1998-06-21
era5,1999,365,51.7548,7,-1.137,0.17159,6,85.5845,1999-05-02,11,38.3660,18,1999-06-17
era5,2000,366,83.3235,22,-0.082,0.35862,29,84.1800,2000-04-03,9,27.4874,6,2000-05-29
era5,2001,365,78.8394,19,-0.232,0.27611,15,99.3574,2001-03-18,23,42.0557,21,2001-06-02
era5,2002,365,52.7627,8,-1.104,0.19231,9,70.0682,2002-03-19,5,26.4134,5,2002-05-23
era5,2003,365,87.9155,26,0.072,0.34173,27,98.2104,2003-03-21,22,41.1303,20,2003-06-03
era5,2004,366,53.1387,9,-1.091,0.15689,4,107.1692,2004-03-06,27,43.7095,24,2004-06-09
era5,2005,365,118.8982,41,1.108,0.47081,41,118.8982,2005-04-01,37,55.2411,37,2005-06-16
era5,2006,365,81.2606,21,-0.151,0.31403,22,87.7415,2006-03-23,15,36.2684,15,2006-06-02
era5,2007,365,53.5225,10,-1.078,0.20111,10,88.4195,2007-03-03,18,37.9368,17,2007-06-05
era5,2008,366,145.3295,44,1.992,0.49334,43,155.9987,2008-03-18,45,74.6599,46,2008-06-22
era5,2009,365,97.1248,32,0.380,0.41974,39,111.7118,2009-04-19,35,49.7407,30,2009-06-04
era5,2010,365,110.5599,39,0.829,0.40749,38,121.6610,2010-03-27,38,52.8959,33,2010-06-10
era5,2011,365,102.8077,36,0.570,0.36279,30,110.6355,2011-03-09,33,57.8340,39,2011-06-23
era5,2012,366,38.2670,2,-1.588,0.11242,2,80.3025,2012-03-03,8,28.8961,7,2012-05-16
era5,2013,365,56.6600,11,-0.973,0.20494,11,79.3681,2013-03-10,7,33.0812,10,2013-06-08
era5,2014,365,100.3215,34,0.487,0.35324,28,106.9400,2014-04-04,26,52.8088,32,2014-06-13
era5,2015,365,48.6544,6,-1.241,0.14411,3,88.1533,2015-03-05,17,32.8286,8,2015-06-12
era5,2016,366,95.8383,31,0.337,0.37152,32,113.6753,2016-02-05,36,54.7452,35,2016-06-12
era5,2017,365,91.3131,28,0.185,0.28421,16,128.7054,2017-03-01,39,56.5015,38,2017-06-13
era5,2018,365,48.3598,5,-1.251,0.18975,7,54.6088,2018-02-25,2,20.7479,3,2018-05-25
era5,2019,365,141.2667,43,1.856,0.47562,42,155.2019,2019-03-14,44,61.0186,40,2019-06-26
era5,2020,366,91.1058,27,0.179,0.32550,24,101.5116,2020-02-26,24,47.8481,28,2020-06-01
era5,2021,365,80.4720,20,-0.177,0.32815,25,87.1578,2021-03-17,13,33.6583,11,2021-06-04
